Date	Bel 20	AEX	CAC40
2/5/2010	2,392.52	315.04	3,563.76
2/8/2010	2,402.15	316.5	3,607.27
2/9/2010	2,413.18	317.06	3,612.76
2/10/2010	2,440.79	316.1	3,635.61
2/11/2010	2,453.79	316.8	3,616.75
2/12/2010	2,461.47	315.74	3,599.07
2/15/2010	2,449.79	315.86	3,609.22
2/16/2010	2,475.48	318.84	3,669.04
2/17/2010	2,512.84	323.13	3,725.21
2/18/2010	2,518.41	324.3	3,747.83
2/19/2010	2,527.73	325.6	3,769.54
2/22/2010	2,521.10	325.12	3,756.70
2/23/2010	2,502.89	320.99	3,707.06
2/24/2010	2,514.94	320.92	3,715.68
2/25/2010	2,480.65	314.85	3,640.77
2/26/2010	2,514.87	317.74	3,708.80
3/1/2010	2,543.41	324.37	3,769.54
3/2/2010	2,558.77	328.24	3,811.92
3/3/2010	2,592.56	331.86	3,842.52
3/4/2010	2,582.96	332.45	3,828.41
3/5/2010	2,611.03	338.68	3,910.42
3/8/2010	2,600.83	338.17	3,903.54
3/9/2010	2,606.31	339.09	3,910.01
3/10/2010	2,634.16	340.97	3,943.55
3/11/2010	2,613.52	339.02	3,928.95
3/12/2010	2,625.28	339.57	3,927.40
3/15/2010	2,608.80	335.11	3,890.91
3/16/2010	2,631.57	339.26	3,938.95
3/17/2010	2,665.62	343.06	3,957.89
3/18/2010	2,654.85	341.95	3,938.18
3/19/2010	2,639.28	338.65	3,925.44
3/22/2010	2,634.45	338.13	3,928.00
3/23/2010	2,649.34	341.51	3,952.55
3/24/2010	2,649.70	341.74	3,949.81
3/25/2010	2,672.10	345.61	4,000.48
3/26/2010	2,656.93	343.81	3,988.93
3/29/2010	2,665.40	343.96	4,000.66
3/30/2010	2,656.12	343.6	3,987.41
3/31/2010	2,648.46	344.22	3,974.01
4/1/2010	2,680.56	351.44	4,034.23
4/6/2010	2,696.66	355.61	4,053.94
4/7/2010	2,696.96	353.89	4,026.97
4/8/2010	2,668.62	350.89	3,978.46
4/9/2010	2,702.87	355.89	4,050.54
4/12/2010	2,714.81	355.34	4,050.50
4/13/2010	2,708.98	354.43	4,031.99
4/14/2010	2,716.70	356.67	4,057.70
4/15/2010	2,715.16	355.57	4,065.65
4/16/2010	2,687.36	349.75	3,986.63
4/19/2010	2,667.96	348.57	3,970.47
4/20/2010	2,681.07	354.86	4,026.65
4/21/2010	2,660.86	353.66	3,977.67
4/22/2010	2,630.94	351.31	3,924.65
4/23/2010	2,644.14	353.38	3,951.30
4/26/2010	2,656.28	357.43	3,997.39
4/27/2010	2,567.68	349.12	3,844.60
4/28/2010	2,506.19	344.55	3,787.00
4/29/2010	2,561.69	348.46	3,840.62
4/30/2010	2,560.99	345.91	3,816.99
5/3/2010	2,572.46	346.94	3,828.46
5/4/2010	2,504.25	335.86	3,689.29
5/5/2010	2,446.22	330.78	3,636.03
5/6/2010	2,400.78	326.19	3,556.11
5/7/2010	2,296.81	312.35	3,392.59
5/10/2010	2,511.98	335.24	3,720.29
5/11/2010	2,483.53	333.48	3,693.20
5/12/2010	2,540.36	336.9	3,733.87
5/13/2010	2,534.85	337.8	3,731.54
5/14/2010	2,447.17	327.24	3,560.36
5/17/2010	2,439.07	326.57	3,543.55
5/18/2010	2,485.24	331	3,617.32
5/19/2010	2,432.85	321.45	3,511.67
5/20/2010	2,386.49	314.86	3,432.52
5/21/2010	2,395.65	313.41	3,430.74
5/24/2010	2,402.45	313.57	3,430.93
5/25/2010	2,329.79	305.03	3,331.29
5/26/2010	2,386.45	312	3,408.59
5/27/2010	2,469.56	321.16	3,525.31
5/28/2010	2,460.54	320.64	3,515.06
5/31/2010	2,453.37	320.7	3,507.56
6/1/2010	2,466.00	321.21	3,503.08
6/2/2010	2,464.25	322.56	3,501.50
6/3/2010	2,484.27	327.03	3,557.34
6/4/2010	2,429.67	321.22	3,455.61
6/7/2010	2,412.05	317.54	3,413.72
6/8/2010	2,390.89	314.83	3,380.36
6/9/2010	2,425.68	320.63	3,446.77
6/10/2010	2,463.32	325.42	3,516.64
6/11/2010	2,463.85	325.56	3,555.52
6/14/2010	2,498.24	331.45	3,626.04
6/15/2010	2,509.31	333.82	3,661.51
6/16/2010	2,513.80	334.76	3,675.93
6/17/2010	2,523.36	335.26	3,683.08
6/18/2010	2,528.93	336.06	3,687.21
6/21/2010	2,549.84	341.04	3,736.15
6/22/2010	2,536.22	339.8	3,705.32
6/23/2010	2,494.34	335.11	3,641.79
6/24/2010	2,455.80	329.22	3,555.36
6/25/2010	2,441.65	325.99	3,519.73
6/28/2010	2,461.96	330.46	3,576.45
6/29/2010	2,382.48	319.03	3,432.99
6/30/2010	2,386.53	316.81	3,442.89
7/1/2010	2,336.12	307.87	3,339.90
7/2/2010	2,337.29	308.2	3,348.37
7/5/2010	2,329.60	306.27	3,332.46
7/6/2010	2,389.28	314.43	3,423.36
7/7/2010	2,415.81	317.56	3,483.44
7/8/2010	2,455.99	322.62	3,538.25
7/9/2010	2,462.75	324.42	3,554.48
7/12/2010	2,470.27	326.56	3,567.66
7/13/2010	2,516.26	333.76	3,637.76
7/14/2010	2,522.12	335.03	3,632.98
7/15/2010	2,495.05	329.76	3,581.82
7/16/2010	2,442.75	323.99	3,500.16
7/19/2010	2,431.56	322	3,486.33
7/20/2010	2,417.34	320.46	3,468.02
7/21/2010	2,451.93	326.36	3,493.92
7/22/2010	2,501.41	335.2	3,600.57
7/23/2010	2,506.07	337.14	3,607.05
7/26/2010	2,531.75	337.82	3,636.18
7/27/2010	2,557.43	338.08	3,666.40
7/28/2010	2,545.08	335.03	3,670.36
7/29/2010	2,537.90	332.13	3,651.91
7/30/2010	2,517.30	330.64	3,643.14
8/2/2010	2,579.35	339.66	3,752.03
8/3/2010	2,588.92	339	3,747.51
8/4/2010	2,587.82	339.2	3,760.72
8/5/2010	2,586.09	336.57	3,764.19
8/6/2010	2,549.82	331.19	3,716.05
8/9/2010	2,571.02	335.89	3,777.37
8/10/2010	2,561.71	333.14	3,730.58
8/11/2010	2,495.93	324.99	3,628.29
8/12/2010	2,505.90	324.12	3,621.07
8/13/2010	2,485.70	323.92	3,610.91
8/16/2010	2,469.46	323.14	3,597.60
8/17/2010	2,518.34	328.45	3,663.13
8/18/2010	2,512.61	327.67	3,647.93
8/19/2010	2,474.08	322.37	3,572.40
8/20/2010	2,452.32	318.02	3,526.12
8/23/2010	2,469.08	318.54	3,553.23
8/24/2010	2,435.96	313.39	3,491.11
8/25/2010	2,424.00	311.72	3,450.19
8/26/2010	2,446.63	314.22	3,475.03
8/27/2010	2,467.55	317.04	3,507.44
8/30/2010	2,460.93	315.55	3,487.01
8/31/2010	2,457.46	316.47	3,490.79
9/1/2010	2,531.76	325.52	3,623.84
9/2/2010	2,537.76	326.57	3,631.43
9/3/2010	2,549.96	329.35	3,672.20
9/6/2010	2,560.24	330.53	3,684.73
9/7/2010	2,538.91	327.76	3,643.81
9/8/2010	2,556.00	331.43	3,677.21
9/9/2010	2,577.46	334.59	3,722.15
9/10/2010	2,569.72	334.96	3,725.82
9/13/2010	2,610.81	337.27	3,767.15
9/14/2010	2,608.85	336.73	3,774.40
9/15/2010	2,603.51	335.86	3,755.64
9/16/2010	2,585.29	334.67	3,736.30
9/17/2010	2,569.22	334.54	3,722.02
9/20/2010	2,601.85	339.81	3,788.01
9/21/2010	2,604.33	338.94	3,784.40
9/22/2010	2,575.16	334.35	3,735.05
9/23/2010	2,570.39	332.82	3,710.61
9/24/2010	2,601.61	337.85	3,782.48
9/27/2010	2,597.73	337.17	3,766.16
9/28/2010	2,603.50	338.17	3,762.35
9/29/2010	2,602.69	335.85	3,737.12
9/30/2010	2,589.73	334.39	3,715.18
10/1/2010	2,579.39	333.78	3,692.09
10/4/2010	2,558.82	330.4	3,649.81
10/5/2010	2,595.93	335.03	3,731.93
10/6/2010	2,613.44	336.97	3,764.91
10/7/2010	2,604.03	337.67	3,770.47
10/8/2010	2,622.78	336.53	3,763.18
10/11/2010	2,635.10	337.04	3,768.49
10/12/2010	2,620.82	335.09	3,748.86
10/13/2010	2,670.38	341.72	3,828.34
10/14/2010	2,662.91	341.33	3,819.17
10/15/2010	2,658.78	341.45	3,827.37
10/18/2010	2,672.38	341.72	3,834.50
10/19/2010	2,666.15	339.15	3,807.17
10/20/2010	2,669.27	339.71	3,828.15
10/21/2010	2,691.78	341.92	3,878.27
10/22/2010	2,691.53	341.07	3,868.54
10/25/2010	2,698.64	342.53	3,870.00
10/26/2010	2,692.74	340.76	3,852.66
10/27/2010	2,672.71	337.99	3,815.77
10/28/2010	2,677.40	338.1	3,834.84
10/29/2010	2,679.07	337.23	3,833.50
11/1/2010	2,688.39	339.35	3,841.11
11/2/2010	2,696.69	342.02	3,865.72
11/3/2010	2,663.84	339.05	3,842.94
11/4/2010	2,710.41	345.15	3,916.78
11/5/2010	2,686.09	346.9	3,916.73
11/8/2010	2,683.42	346.69	3,913.70
11/9/2010	2,702.84	347.74	3,945.71
11/10/2010	2,672.25	346.09	3,888.45
11/11/2010	2,631.64	344.83	3,867.35
11/12/2010	2,624.97	343.2	3,831.12
11/15/2010	2,654.43	345.53	3,864.24
11/16/2010	2,608.06	339.21	3,762.47
11/17/2010	2,624.86	341.5	3,792.35
11/18/2010	2,670.51	346.27	3,867.97
11/19/2010	2,665.01	344.58	3,860.16
11/22/2010	2,643.35	342.42	3,818.89
11/23/2010	2,584.25	334.82	3,724.42
11/24/2010	2,591.51	337.2	3,747.61
11/25/2010	2,601.42	338.77	3,760.42
11/26/2010	2,579.81	336.26	3,728.65
11/29/2010	2,521.33	329.67	3,636.96
11/30/2010	2,506.13	327.41	3,610.44
12/1/2010	2,565.84	335.8	3,669.29
12/2/2010	2,617.20	341.45	3,747.04
12/3/2010	2,614.99	342.19	3,750.55
12/6/2010	2,611.41	342.34	3,749.23
12/7/2010	2,624.67	346.21	3,810.50
